date,home,away,oh,od,oa
2026-06-15,Belgium,Egypt,12.341,1.081,29.13
2026-06-15,Saudi Arabia,Uruguay,8.225,4.371,1.434
2026-06-15,Spain,Cabo Verde,1.078,12.523,30.589
2026-06-16,France,Senegal,1.464,4.395,7.231
2026-06-16,Iran,New Zealand,1.779,3.501,5.025
2026-06-16,Iraq,Norway,15.241,7.168,1.189
2026-06-17,Argentina,Algeria,1.382,4.656,9.118
2026-06-17,Austria,Jordan,1.332,5.333,8.888
2026-06-17,England,Croatia,1.059,38.554,177.29
2026-06-17,Ghana,Panama,2.354,3.157,3.26
2026-06-17,Portugal,DR Congo,1.282,5.515,11.717
2026-06-18,Canada,Qatar,1.275,5.663,11.092
2026-06-18,Czechia,South Africa,1.861,3.543,4.319
2026-06-18,Switzerland,Bosnia & Herzegovina,1.56,4.048,6.215
2026-06-18,Uzbekistan,Colombia,9.242,4.754,1.369
2026-06-19,Mexico,South Korea,2.025,3.282,3.965
2026-06-19,Scotland,Morocco,5.268,3.552,1.728
2026-06-19,United States,Australia,1.584,4.313,5.364
2026-06-20,Brazil,Haiti,1.102,10.609,22.521
2026-06-20,Germany,Côte d'Ivoire,1.52,4.522,5.834
2026-06-20,Netherlands,Sweden,1.747,3.818,4.66
2026-06-20,Türkiye,Paraguay,2.021,3.399,3.851
2026-06-21,Belgium,Iran,1.418,4.644,7.756
2026-06-21,Ecuador,Curaçao,1.107,10.106,24.421
2026-06-21,Spain,Saudi Arabia,1.102,9.983,25.055
2026-06-21,Tunisia,Japan,6.708,4.076,1.522
2026-06-21,Uruguay,Cabo Verde,1.46,4.189,7.883
2026-06-22,Argentina,Austria,1.59,3.924,5.997
2026-06-22,France,Iraq,1.088,10.821,29.918
2026-06-22,New Zealand,Egypt,5.638,4.013,1.601
2026-06-23,England,Ghana,1.217,6.377,13.965
2026-06-23,Jordan,Algeria,5.912,4.092,1.57
2026-06-23,Norway,Senegal,2.319,3.466,3.018
2026-06-23,Panama,Croatia,6.683,3.96,1.537
2026-06-23,Portugal,Uzbekistan,1.2,6.774,14.696
2026-06-24,Bosnia & Herzegovina,Qatar,1.41,4.839,7.112
2026-06-24,Colombia,DR Congo,1.498,4.141,7.032
2026-06-24,Morocco,Haiti,1.275,5.658,10.797
2026-06-24,Scotland,Brazil,7.001,4.823,1.414
2026-06-24,Switzerland,Canada,2.382,3.092,3.19
2026-06-25,Curaçao,Côte d'Ivoire,19.102,8.422,1.134
2026-06-25,Czechia,Mexico,3.232,3.53,2.151
2026-06-25,Ecuador,Germany,4.892,3.813,1.693
2026-06-25,Japan,Sweden,2.122,3.417,3.382
2026-06-25,South Africa,South Korea,5.645,3.908,1.605
2026-06-25,Tunisia,Netherlands,9.287,5.287,1.312
2026-06-26,Norway,France,4.249,3.704,1.795
2026-06-26,Paraguay,Australia,2.161,3.266,3.414
2026-06-26,Senegal,Iraq,1.311,5.133,9.865
2026-06-26,Türkiye,United States,2.769,3.604,2.374
2026-06-27,Cabo Verde,Saudi Arabia,2.733,3.573,2.412
2026-06-27,Colombia,Portugal,3.436,3.351,2.104
2026-06-27,Croatia,Ghana,1.613,3.795,5.623
2026-06-27,DR Congo,Uzbekistan,2.104,3.508,3.291
2026-06-27,Egypt,Iran,2.081,3.104,3.795
2026-06-27,New Zealand,Belgium,12.119,6.142,1.223
2026-06-27,Panama,England,10.287,6.122,1.252
2026-06-27,Uruguay,Spain,5.91,4.111,1.536
2026-06-28,Algeria,Austria,3.035,3.049,2.456
2026-06-28,Jordan,Argentina,13.669,6.679,1.196
