team,odds
France,4.72
England,6.88
Spain,7.04
Argentina,9.32
Portugal,12.0
Brazil,13.8
Germany,15.2
Netherlands,16.8
United States,36.0
Morocco,36.6
Norway,37.4
Belgium,44.6
Japan,46.2
Colombia,52.6
Mexico,59.6
Switzerland,98.6
Senegal,133.6
Uruguay,134.6
Croatia,136.6
Côte d'Ivoire,136.6
Austria,169.6
Canada,178.6
Sweden,210.6
Australia,218.6
Egypt,312.6
South Korea,326.6
Ecuador,340.6
Scotland,418.6
Paraguay,454.6
Ghana,594.6
Algeria,660.6
Czechia,670.6
Bosnia & Herzegovina,676.6
Iran,850.6
DR Congo,860.6
Saudi Arabia,860.6
Cabo Verde,1300.6
New Zealand,1300.6
South Africa,1400.6
Panama,1500.6
Tunisia,1501.0
Uzbekistan,1600.6
Iraq,1600.6
Jordan,1800.6
Curaçao,1900.6
Qatar,2100.6
