team,date,value
Algeria,2026-06-14,256.9
Argentina,2026-06-14,807.5
Australia,2026-06-14,77.45
Austria,2026-06-14,245.2
Belgium,2026-06-14,547.5
Bosnia & Herzegovina,2026-06-14,146.4
Brazil,2026-06-14,928.2
Cabo Verde,2026-06-14,49.25
Canada,2026-06-14,198.65
Colombia,2026-06-14,302.35
Croatia,2026-06-14,387.3
Curaçao,2026-06-14,25.78
Czechia,2026-06-14,188.18
Côte d'Ivoire,2026-06-14,522.1
DR Congo,2026-06-14,143.9
Ecuador,2026-06-14,368.7
Egypt,2026-06-14,116.48
England,2026-06-14,1360.0
France,2026-06-14,1520.0
Germany,2026-06-14,947.0
Ghana,2026-06-14,234.5
Haiti,2026-06-14,55.9
Iran,2026-06-14,32.05
Iraq,2026-06-14,21.2
Japan,2026-06-14,270.85
Jordan,2026-06-14,20.3
Mexico,2026-06-14,191.85
Morocco,2026-06-14,447.7
Netherlands,2026-06-14,754.2
New Zealand,2026-06-14,34.45
Norway,2026-06-14,589.9
Panama,2026-06-14,34.55
Paraguay,2026-06-14,153.65
Portugal,2026-06-14,1010.0
Qatar,2026-06-14,19.93
Saudi Arabia,2026-06-14,40.68
Scotland,2026-06-14,170.25
Senegal,2026-06-14,478.1
South Africa,2026-06-14,49.25
South Korea,2026-06-14,139.05
Spain,2026-06-14,1220.0
Sweden,2026-06-14,406.08
Switzerland,2026-06-14,332.5
Tunisia,2026-06-14,69.95
Türkiye,2026-06-14,473.7
United States,2026-06-14,385.6
Uruguay,2026-06-14,359.3
Uzbekistan,2026-06-14,85.33
Algeria,2026-06-15,256.9
Argentina,2026-06-15,807.5
Australia,2026-06-15,77.45
Austria,2026-06-15,245.2
Belgium,2026-06-15,547.5
Bosnia & Herzegovina,2026-06-15,146.4
Brazil,2026-06-15,928.2
Cabo Verde,2026-06-15,49.25
Canada,2026-06-15,198.65
Colombia,2026-06-15,302.35
Croatia,2026-06-15,387.3
Curaçao,2026-06-15,25.78
Czechia,2026-06-15,188.18
Côte d'Ivoire,2026-06-15,522.1
DR Congo,2026-06-15,143.9
Ecuador,2026-06-15,368.7
Egypt,2026-06-15,116.48
England,2026-06-15,1360.0
France,2026-06-15,1520.0
Germany,2026-06-15,947.0
Ghana,2026-06-15,234.5
Haiti,2026-06-15,55.9
Iran,2026-06-15,32.05
Iraq,2026-06-15,21.2
Japan,2026-06-15,270.85
Jordan,2026-06-15,20.3
Mexico,2026-06-15,191.85
Morocco,2026-06-15,447.7
Netherlands,2026-06-15,754.2
New Zealand,2026-06-15,34.45
Norway,2026-06-15,589.9
Panama,2026-06-15,34.55
Paraguay,2026-06-15,153.65
Portugal,2026-06-15,1010.0
Qatar,2026-06-15,19.93
Saudi Arabia,2026-06-15,40.68
Scotland,2026-06-15,170.25
Senegal,2026-06-15,478.1
South Africa,2026-06-15,49.25
South Korea,2026-06-15,139.05
Spain,2026-06-15,1220.0
Sweden,2026-06-15,406.08
Switzerland,2026-06-15,332.5
Tunisia,2026-06-15,69.95
Türkiye,2026-06-15,473.7
United States,2026-06-15,385.6
Uruguay,2026-06-15,359.3
Uzbekistan,2026-06-15,85.33
