,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win
Spain,2171,UEFA,H,99.7,81.2,61.5,49.9,37.3,26.3
Argentina,2113,CONMEBOL,J,98.3,70.2,55.9,39.8,27.0,16.3
France,2063,UEFA,I,96.2,74.9,52.4,35.4,19.0,10.5
England,2042,UEFA,L,97.9,71.2,45.3,29.4,16.7,8.7
Colombia,1998,CONMEBOL,K,94.3,63.6,38.0,20.1,11.2,5.6
Brazil,1979,CONMEBOL,C,96.9,60.6,36.4,20.0,8.8,4.0
Portugal,1976,UEFA,K,92.9,58.9,31.9,17.0,8.7,3.6
Netherlands,1959,UEFA,F,93.1,56.5,35.2,17.6,7.0,3.2
United States,1815,CONCACAF,D,86.3,58.2,31.7,12.7,6.5,2.5
Ecuador,1933,CONMEBOL,E,96.9,59.4,29.0,15.3,6.0,2.5
Croatia,1933,UEFA,L,92.8,52.4,23.5,12.4,6.0,2.4
Mexico,1800,CONCACAF,A,94.2,62.6,30.2,13.9,5.4,1.9
Norway,1922,UEFA,I,84.2,50.1,27.1,12.9,4.9,1.9
Germany,1910,UEFA,E,95.6,55.2,25.8,12.0,4.3,1.7
Switzerland,1897,UEFA,B,95.6,60.1,28.1,10.7,4.3,1.4
Japan,1879,AFC,F,85.3,42.6,21.8,8.9,3.3,1.2
Uruguay,1890,CONMEBOL,H,92.2,33.9,18.3,8.7,3.7,1.0
Senegal,1869,CAF,I,75.6,39.8,19.3,8.1,2.8,0.9
Türkiye,1880,UEFA,D,80.1,48.0,22.2,7.8,2.9,0.9
Belgium,1849,UEFA,G,90.6,50.8,20.7,6.3,2.3,0.7
Morocco,1850,CAF,C,87.5,40.1,18.9,7.5,2.4,0.7
Canada,1700,CONCACAF,B,89.6,47.8,18.3,5.9,1.9,0.6
Iran,1800,AFC,G,84.3,39.0,14.0,3.9,1.4,0.4
South Korea,1785,AFC,A,78.5,38.8,13.6,4.2,1.2,0.3
Algeria,1800,CAF,J,65.4,18.2,7.8,2.5,0.9,0.3
Paraguay,1770,CONMEBOL,D,56.6,24.5,7.9,2.0,0.6,0.2
Sweden,1700,UEFA,F,47.5,12.8,3.9,0.9,0.2,0.1
Czechia,1755,UEFA,A,73.2,33.3,10.3,2.5,0.7,0.1
Austria,1800,UEFA,J,64.2,17.7,6.9,2.2,0.6,0.1
DR Congo,1720,CAF,K,46.2,12.4,3.6,1.0,0.3,0.1
Scotland,1730,UEFA,C,67.2,20.1,6.4,1.6,0.3,0.1
Australia,1755,AFC,D,51.0,20.8,6.7,1.9,0.6,0.1
South Africa,1560,CAF,A,26.9,6.7,1.0,0.2,0.0,0.0
Uzbekistan,1660,AFC,K,31.7,6.3,1.4,0.2,0.0,0.0
Panama,1600,CONCACAF,L,29.5,4.7,0.9,0.2,0.0,0.0
Qatar,1540,AFC,B,31.4,5.6,1.0,0.1,0.0,0.0
Jordan,1680,AFC,J,34.8,6.6,1.9,0.4,0.1,0.0
Curaçao,1440,CONCACAF,E,11.0,0.8,0.1,0.0,0.0,0.0
Bosnia & Herzegovina,1610,UEFA,B,49.3,12.3,2.4,0.4,0.0,0.0
Iraq,1620,AFC,I,17.2,4.3,1.0,0.2,0.0,0.0
Côte d'Ivoire,1690,CAF,E,65.7,18.2,4.5,0.8,0.2,0.0
Haiti,1520,CONCACAF,C,18.4,2.1,0.2,0.0,0.0,0.0
Cabo Verde,1500,CAF,H,15.8,1.7,0.2,0.0,0.0,0.0
Saudi Arabia,1620,AFC,H,39.4,6.6,1.3,0.3,0.0,0.0
New Zealand,1530,OFC,G,26.0,4.2,0.5,0.1,0.0,0.0
Egypt,1720,CAF,G,72.2,25.7,6.5,1.2,0.3,0.0
Tunisia,1680,CAF,F,42.9,11.3,3.0,0.6,0.1,0.0
Ghana,1640,CAF,L,38.0,7.3,1.5,0.3,0.1,0.0
