match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,pred,xg_home,xg_away,actual,score,played
1,A,Mexico,South Africa,77.8,15.5,6.7,,,,2-0,2.4,0.6,H,2-0,1
2,A,South Korea,Czechia,41.3,28.7,29.9,,,,1-1,1.3,1.1,H,2-1,1
3,B,Canada,Bosnia & Herzegovina,55.3,25.7,19.1,,,,1-0,1.6,0.9,D,1-1,1
4,D,United States,Paraguay,49.9,27.2,22.9,,,,1-1,1.5,0.9,H,4-1,1
5,B,Qatar,Switzerland,6.0,14.5,79.5,,,,0-2,0.6,2.5,D,1-1,1
6,C,Brazil,Morocco,48.1,27.6,24.3,,,,1-1,1.5,1.0,D,1-1,1
7,C,Haiti,Scotland,16.9,24.5,58.6,,,,0-1,0.8,1.7,A,0-1,1
8,D,Australia,Türkiye,30.9,28.8,40.3,,,,1-1,1.1,1.3,H,2-0,1
9,E,Germany,Curaçao,78.7,15.0,6.3,,,,2-0,2.5,0.6,H,7-1,1
10,F,Netherlands,Japan,47.2,27.8,25.0,,,,1-1,1.4,1.0,D,2-2,1
11,E,Côte d'Ivoire,Ecuador,23.7,27.4,48.9,,,,1-1,1.0,1.5,H,1-0,1
12,F,Sweden,Tunisia,49.7,27.2,23.0,,,,1-1,1.5,0.9,H,5-1,1
13,H,Spain,Cabo Verde,91.2,6.9,1.9,90.9,6.9,2.3,3-0,3.4,0.4,D,0-0,1
14,G,Belgium,Egypt,48.6,27.5,23.9,7.0,90.6,2.4,1-1,1.5,1.0,D,1-1,1
15,H,Saudi Arabia,Uruguay,17.0,24.6,58.5,10.8,21.4,67.7,0-1,0.8,1.7,D,1-1,1
16,G,Iran,New Zealand,65.0,22.0,13.0,54.4,27.1,18.5,2-0,1.9,0.7,D,2-2,1
17,I,France,Senegal,69.4,20.0,10.7,66.3,21.3,12.5,2-0,2.1,0.7,H,3-1,1
18,I,Iraq,Norway,8.1,17.3,74.6,5.4,12.6,82.0,0-2,0.6,2.3,A,1-4,1
19,J,Argentina,Algeria,71.9,18.7,9.4,70.3,20.0,9.7,2-0,2.2,0.7,H,3-0,1
20,J,Austria,Jordan,55.9,25.5,18.6,72.9,17.2,9.9,1-0,1.7,0.9,H,3-1,1
21,K,Portugal,DR Congo,60.1,24.0,15.9,76.0,16.7,7.3,1-0,1.8,0.8,D,1-1,1
22,L,England,Croatia,50.6,27.0,22.4,,,,1-1,1.5,0.9,H,4-2,1
23,L,Ghana,Panama,48.1,27.6,24.3,40.8,30.1,29.1,1-1,1.5,1.0,H,1-0,1
24,K,Uzbekistan,Colombia,6.2,14.9,78.9,9.5,19.6,71.0,0-2,0.6,2.5,A,1-3,1
25,A,Czechia,South Africa,45.7,28.1,26.2,51.8,26.6,21.6,1-1,1.4,1.0,D,1-1,1
26,B,Switzerland,Bosnia & Herzegovina,67.4,20.9,11.7,62.1,23.2,14.7,2-0,2.0,0.7,H,4-1,1
27,B,Canada,Qatar,68.9,20.2,10.9,76.2,16.2,7.7,2-0,2.1,0.7,H,6-0,1
28,A,Mexico,South Korea,62.8,22.9,14.3,47.5,28.8,23.7,1-0,1.9,0.8,H,1-0,1
29,D,United States,Australia,53.2,26.3,20.5,,,,1-0,1.6,0.9,H,2-0,1
30,C,Scotland,Morocco,18.2,25.2,56.6,15.8,26.1,58.1,0-1,0.8,1.7,A,0-1,1
31,C,Brazil,Haiti,87.1,9.7,3.2,88.4,8.1,3.6,3-0,3.0,0.5,H,3-0,1
32,D,Türkiye,Paraguay,37.2,29.0,33.8,47.0,28.1,25.0,1-1,1.2,1.2,A,0-1,1
33,F,Netherlands,Sweden,62.6,23.0,14.4,56.7,23.5,19.8,1-0,1.9,0.8,H,5-1,1
34,E,Germany,Côte d'Ivoire,49.7,27.2,23.0,65.1,20.1,14.8,1-1,1.5,0.9,H,2-1,1
35,E,Ecuador,Curaçao,78.0,15.4,6.6,86.7,9.7,3.5,2-0,2.4,0.6,D,0-0,1
36,F,Tunisia,Japan,13.0,21.9,65.1,13.6,23.2,63.1,0-2,0.7,1.9,A,0-4,1
37,H,Spain,Saudi Arabia,87.4,9.5,3.1,89.0,8.2,2.8,3-0,3.0,0.5,H,4-0,1
38,G,Belgium,Iran,45.8,28.1,26.1,68.1,20.2,11.8,1-1,1.4,1.0,D,0-0,1
39,H,Uruguay,Cabo Verde,65.8,21.6,12.6,66.8,22.5,10.7,2-0,2.0,0.7,D,2-2,1
40,G,New Zealand,Egypt,14.6,23.1,62.3,15.5,23.3,61.3,0-1,0.8,1.8,A,1-3,1
41,J,Argentina,Austria,70.9,19.2,9.9,64.6,22.8,12.6,2-0,2.1,0.7,H,2-0,1
42,I,France,Iraq,89.3,8.2,2.5,94.7,4.8,0.4,3-0,3.2,0.4,H,3-0,1
43,I,Norway,Senegal,48.5,27.5,24.0,41.8,27.9,30.3,1-1,1.5,1.0,H,3-2,1
44,J,Jordan,Algeria,19.4,25.8,54.8,14.2,22.1,63.7,0-1,0.9,1.6,A,1-2,1
45,K,Portugal,Uzbekistan,75.6,16.7,7.7,84.9,11.1,4.0,2-0,2.3,0.6,H,5-0,1
46,L,England,Ghana,76.1,16.5,7.4,82.0,13.0,5.1,2-0,2.3,0.6,D,0-0,1
47,L,Panama,Croatia,8.4,17.6,74.0,13.1,22.0,64.8,0-2,0.6,2.3,A,0-1,1
48,K,Colombia,DR Congo,64.1,22.4,13.6,63.2,23.5,13.3,1-0,1.9,0.7,H,1-0,1
49,B,Switzerland,Canada,47.6,27.7,24.7,40.7,30.7,28.5,1-1,1.5,1.0,H,2-1,1
50,B,Bosnia & Herzegovina,Qatar,49.1,27.4,23.5,69.6,18.0,12.4,1-1,1.5,1.0,H,3-1,1
51,C,Scotland,Brazil,10.8,20.1,69.2,9.6,17.3,73.0,0-2,0.7,2.1,A,0-3,1
52,C,Morocco,Haiti,78.1,15.3,6.6,82.5,12.5,5.0,2-0,2.4,0.6,H,4-2,1
53,A,Czechia,Mexico,11.1,20.3,68.6,25.4,24.6,50.0,0-2,0.7,2.1,A,0-3,1
54,A,South Africa,South Korea,21.4,26.7,51.9,17.3,24.7,58.0,1-1,0.9,1.6,H,1-0,1
55,E,Ecuador,Germany,34.7,29.1,36.3,16.6,19.1,64.3,1-1,1.2,1.2,H,2-1,1
56,E,Curaçao,Côte d'Ivoire,12.5,21.6,65.9,4.3,10.9,84.8,0-2,0.7,2.0,A,0-2,1
57,F,Japan,Sweden,50.6,27.0,22.4,52.1,26.9,20.9,1-1,1.5,0.9,D,1-1,1
58,F,Tunisia,Netherlands,7.5,16.5,75.9,2.6,8.0,89.4,0-2,0.6,2.3,A,1-3,1
59,D,Türkiye,United States,24.3,27.6,48.1,24.3,23.0,52.7,1-1,1.0,1.5,H,3-2,1
60,D,Paraguay,Australia,38.5,29.0,32.5,33.5,42.8,23.7,1-1,1.3,1.1,D,0-0,1
61,I,Norway,France,18.3,25.3,56.4,19.1,20.1,60.8,0-1,0.8,1.7,A,1-4,1
62,I,Senegal,Iraq,62.3,23.1,14.6,79.6,13.6,6.8,1-0,1.8,0.8,H,5-0,1
63,H,Cabo Verde,Saudi Arabia,28.8,28.6,42.7,36.2,28.8,34.9,1-1,1.1,1.3,D,0-0,1
64,H,Uruguay,Spain,10.5,19.8,69.7,13.2,23.8,63.0,0-2,0.7,2.1,A,0-1,1
65,G,Egypt,Iran,32.9,29.0,38.1,38.5,36.7,24.8,1-1,1.1,1.2,D,1-1,1
66,G,New Zealand,Belgium,8.1,17.2,74.7,5.2,11.6,83.2,0-2,0.6,2.3,A,1-5,1
67,L,Panama,England,3.7,10.8,85.5,5.0,10.6,84.4,0-2,0.5,2.9,A,0-2,1
68,L,Croatia,Ghana,62.0,23.2,14.8,50.9,30.4,18.8,1-0,1.8,0.8,H,2-1,1
69,K,Colombia,Portugal,39.4,28.9,31.7,27.1,24.8,48.1,1-1,1.3,1.1,D,0-0,1
70,K,DR Congo,Uzbekistan,52.0,26.6,21.4,60.4,22.8,16.9,1-1,1.6,0.9,H,3-1,1
71,J,Algeria,Austria,34.4,29.1,36.5,22.8,44.7,32.6,1-1,1.2,1.2,D,3-3,1
72,J,Jordan,Argentina,3.3,10.0,86.7,4.5,10.6,85.0,0-2,0.5,3.0,A,1-3,1
