Team,Group,Elo
Mexico,A,1800
South Korea,A,1785
South Africa,A,1560
Czechia,A,1755
Canada,B,1700
Switzerland,B,1897
Qatar,B,1540
Bosnia & Herzegovina,B,1610
Brazil,C,1979
Morocco,C,1850
Scotland,C,1730
Haiti,C,1520
United States,D,1815
Paraguay,D,1770
Australia,D,1755
Türkiye,D,1880
Germany,E,1910
Ecuador,E,1933
Côte d'Ivoire,E,1690
Curaçao,E,1440
Netherlands,F,1959
Japan,F,1879
Tunisia,F,1680
Sweden,F,1700
Belgium,G,1849
Iran,G,1800
Egypt,G,1720
New Zealand,G,1530
Spain,H,2171
Uruguay,H,1890
Saudi Arabia,H,1620
Cabo Verde,H,1500
France,I,2063
Senegal,I,1869
Norway,I,1922
Iraq,I,1620
Argentina,J,2113
Austria,J,1800
Algeria,J,1800
Jordan,J,1680
Portugal,K,1976
Colombia,K,1998
Uzbekistan,K,1660
DR Congo,K,1720
England,L,2042
Croatia,L,1933
Panama,L,1600
Ghana,L,1640
